"bobbin_no","bobbin_fid","matcode","avg_lsa_atn_1310","avg_lsa_atn_1550","avg_lsa_atn_1625","avg_lsa_atn_1383","max_lsa_atn_1310","max_lsa_atn_1550","max_lsa_atn_1625","max_lsa_atn_1383","min_lsa_atn_1310","min_lsa_atn_1550","min_lsa_atn_1625","min_lsa_atn_1383","atn_1310_top","atn_1550_top","atn_1625_top","atn_1383_top","atn_1310_bottom","atn_1550_bottom","atn_1625_bottom","atn_1383_bottom","max_atn_1310_top","max_atn_1550_top","max_atn_1625_top","max_atn_1383_top","max_atn_1310_bottom","max_atn_1550_bottom","max_atn_1625_bottom","max_atn_1383_bottom","max_tb_1310","max_tb_1550","max_tb_1625","max_tb_1383","atn_1310_tb","atn_1550_tb","atn_1625_tb","atn_1383_tb","atn_uniformity_1310","atn_uniformity_1550","atn_uniformity_1625","atn_uniformity_1383","mfd_uniformity_1310","mfd_uniformity_1550","mfd_uniformity_1625","mfd_uniformity_1383","step_1310_size","step_1550_size","step_1625_size","step_1383_size","spike_1310_size","spike_1550_size","spike_1625_size","spike_1383_size","spec_1310","spec_1550","spec_1285_1330","mfd_1310_top","mfd_1310_bottom","mfd_1550_top","mfd_1550_bottom","effective_area_1310","effective_area_1550","cut_off_top","cut_off_bottom","cable_cut_off","mac_value","clad_dia_top","clad_dia_bottom","core_clad_concentricity_top","core_clad_concentricity_bottom","clad_ovality_top","clad_ovality_bottom","core_dia_top","core_dia_bottom","core_ovality_top","core_ovality_bottom","primary_coating_dia_top","primary_coating_dia_bottom","secondary_coating_dia_top","secondary_coating_dia_bottom","primary_coating_concentricity_top","primary_coating_concentricity_bottom","secondary_coating_concentricity_top","secondary_coating_concentricity_bottom","coating_ovality_top","coating_ovality_bottom","fiber_curl_top","fiber_curl_bottom","curl_defection_top","curl_defection_bottom","zero_disp_wave","slope_zero_disp","disp_1550","disp_1285_1330","disp_1270_1340","disp_1575","cd_1460","disp_1625","disp_1570","disp_1260","pmd_1310","pmd_1550","disp_slope","m_100t_50mm_1550","m_100t_50mm_1310","m_100t_50mm_1625","m_100t_60mm_1550","m_100t_60mm_1310","m_100t_60mm_1625","m_1t_32mm_1550","m_1t_32mm_1310","m_1t_32mm_1625","m_10t_30mm_1550","m_10t_30mm_1310","m_10t_30mm_1625","m_1t_20mm_1550","m_1t_20mm_1310","m_1t_20mm_1625","m_1t_15mm_1550","m_1t_15mm_1310","m_1t_15mm_1625","m_1t_10mm_1550","m_1t_10mm_1310","m_1t_10mm_1625","temp_grade","final_grade","status","reason","remark","is_rew_done"
"PTE2609701","PTE2609701",NULL,"0.322","0.183","0.190","0.292","0.326","0.186","0.194","0.316","0.317","0.178","0.186","0.270","0.322","0.183","0.190","0.293","0.322","0.183","0.190","0.292","0.330","0.191","0.196","0.326","0.333","0.190","0.198","0.338","0.333","0.191","0.198","0.338","0.313","0.175","0.183","0.242","0.005","0.005","0.004","0.024","0.014","0.009","0.009","0.077","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PASS","","",False
"PTE2609704","PTE2609704",NULL,"0.325","0.188","0.195","0.276","0.343","0.213","0.222","0.309","0.319","0.180","0.190","0.243","0.325","0.188","0.195","0.276","0.326","0.188","0.196","0.276","0.345","0.222","0.225","0.334","0.341","0.209","0.219","0.311","0.345","0.222","0.225","0.334","0.315","0.170","0.185","0.218","0.018","0.025","0.027","0.033","0.018","0.036","0.028","0.070","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REW","HA1310","Cut from 42.103 km to 42.699 (HA1310:),",False
